Project name,State,Country,Type,Sub-Category,Year started,Year ended,Duration (Years),Budget,Restarts,Cost overruns,Time overruns,Content deficiency,User Involvement,Executive Management,Statement of Requirements,Planning,Expectations,Requirements & Specifications,Changing Requirements & Specifications,Technical Competence,Resources Availability,IT Management,Technical Literacy,User satisfaction
Robodebt scheme,Failed,Australia,Government,Finance,2015,2019,4,$1.5 billion AUD,No,No,No,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
Queensland's Health Payroll System,Failed,Australia,Government,Healthcare,2010,2016,6,$1.25 billion AUD,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Unstable,Low,Inadequate,Poor,Low,Low
Myki smart Card system,Failed,Australia,Government,Transportation,2009,n/a,n/a,$1.5 billion AUD,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Stable,High,Adequate,Strong,High,High
CHESS Replacement (Clearing House Electronic Subregister System),Failed,Australia,Non-government,Finance,2017,n/a,n/a,$245 million AUD,No,Yes,Yes,n/a,High,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,High,Low
Panorama,Failed,Canada,Government,Health,2004,n/a,n/a,$147 million CAD,No,No,Yes,Yes ,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Unstable,Low,Inadequate,Poor,Low,Low
Loblaws Business Intelligence System,Failed,Canada,Non-government,Retail,2016,2019,3,n/a,Yes,n/a,n/a,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
Customs and Border Protection Staff Recruitment,Failed,USA,Government,Human resources,2019,2021,2,$23 million CAD,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,n/a
T2 - Texas Child Support Enforcement System 2.0,Failed,USA,Government,Finance,2007,2019,12,$367.5 million CAD,Yes,Yes,Yes,No,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,High
eLWIS,Failed,Germany,Non-government,Retail,2011,2018,7,£500 million EUR,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
i6,Failed,UK,Government,Law Enforcement,2013,2016,3,£46.11 million EUR,No,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,High
Phoenix,Failed,Canada,Government,Finance,2010,2016,6,$1.25 billion CAD,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
TSA Body Scanners,Failed,USA,Government,Security,2009,2015,6,$160 million USA,Yes,Yes,Yes,No,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Stable,Low,Adequate,Poor,n/a,n/a
Instructional Technology Initiative,Failed,USA,Government,Education,2013,n/a,n/a,$1.3 Billion,Yes,n/a,Yes,Yes ,n/a,n/a,Unclear,Poor,Realistic,Incomplete,Unstable,n/a,Adequate,n/a,n/a,Low
Quibi,Failed,USA,Non-government,Entertainment,2018,2020,2,$1.75 billion,n/a,Yes,No,No,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,n/a,n/a,Adequate,n/a,n/a,Low
TAURUS,Failed,UK,Non-government,Finance,1983,1993,10,£75 million,Yes,Yes,Yes,Yes,High,Poor,Unclear,Poor,Unrealistic,Incomplete,Unstable,Low,Inadequate,Poor,Low,High
FAA Advanced Automation System,Failed,USA,Government,Aviation,1980,1994,14,A$3.2 billion,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
RISP,Failed,UK,Government,Heathcare,1991,2006,15,£63 million,Yes,Yes,Yes,No,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,n/a
INCIS,Failed,New Zealand,Government,Law Enforcement,1993,1999,6,A$66 million,No,Yes,No,Yes,Low,High,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,High
Bolit,Failed,Sweden,Government,Administration,1997,2002,5,$35 million,No,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
CSIO Portal,Failed,Canada,Non-government,Insurance,1999,2006,7,$15 million CAD,No,Yes,Yes,Yes,Low,High,Unclear,Poor,Unrealistic,Complete,Frequently changing,Low,Adequate,Poor,Low,High
Customer Account Data Engine,Failed,USA,Government,Taxation,2000,2009,9,$500 million USA,Yes,Yes,Yes,No,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
NHS Connecting for Health,Failed,UK,Government,Heathcare,2002,2011,9,£12 billion,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Unstable,Low,Inadequate,Poor,Low,n/a
Expeditionary Combat Support System,Failed,USA,Government,Military,2005,2012,7,A$12 billion,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Unstable,Low,Inadequate,Poor,Low,Low
Polsag,Failed,Denmark,Government,Law Enforcement,2002,2013,11,$70 million DKK,Yes,Yes,Yes,No,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Unstable,Low,Inadequate,Poor,Low,Low
e-Borders,Failed,UK,Government,Immigration,2003,2011,8,£1.2 billion,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
Försäkringskassan SAP,Failed,Sweden,Government,Heathcare,2008,2018,10,A$1.4 billion,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
Digital Media Initiative,Failed,UK,Government,Media,2008,2017,9,£81.7 million,No,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,High
The Surrey Integrated Reporting Enterprise Network (SIREN),Failed,UK,Government,Law Enforcement,2009,2013,4,£14.8 million,No,Yes,Yes,No,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
Pust Siebel,Failed,Sweden,Government,Law Enforcement,2004,2014,10,A$1.7 billion,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,Low
Cover Oregon,Failed,USA,Government,Heathcare,2011,2016,5,$305 million,Yes,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Frequently changing,Low,Inadequate,Poor,Low,High
My Health Record,Failed,Australia,Government,Heathcare,2012,2023,11,$2.2 billion AUD,No,Yes,No,No,Low,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,High,n/a
National Broadband Network (NBN),Failed,Australia,Government,Telecommunication,2009,2023,14,$58.9 billion AUD,Yes,Yes,Yes,Yes,Low,High,Clear,Proper,Unrealistic,Complete,Stable,High,Adequate,Strong,High,Low
Rhode Island's UHIP Program,Failed,USA,Government,Heathcare,2016,2018,2,$364 million,No,Yes,Yes,Yes,Low,Poor,Unclear,Poor,Unrealistic,Incomplete,Unstable,Low,Inadequate,Poor,Low,Low
